ID,AreaCodeID,CountryID,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 2,Address 3,City,State/ Province,Postal Code,Script Type,Comment
50501,11065,11065,1413,250501,,,"Room 427, 4th Floor, Industrial Plant, Building No. 2, No. 2 Changtian Industry Park, Changsheng Road, Chang'an Investment Zone, Fuzhou Development Zone",,,,,,,
50501,11065,11065,1413,250501,,,,,,,Fujian,,,
50590,11065,11065,1413,250590,,,"34th Floor, Number 38, Zhangjiang Road",,,,,,,
50590,11065,11065,1413,250590,,,,Zhongshan District,,,,,,
50590,11065,11065,1413,250590,,,,,,Dalian,,,,
50590,11065,11065,1413,250590,,,,,,,Liaoning,,,
50593,11065,11065,1413,250593,,,,,,Dalian,,,,
50684,11155,11155,1413,250684,,,"De Los Pipitos, 200 Mts. Al Oeste Bolonia",,,,,,,
50684,11155,11155,1413,250684,,,,,,Managua,,,,
50691,11086,11086,1413,250691,,,"Harju maakond, Kesklinna linnaosa, Roseni tn 13",,,,,,,
50691,11086,11086,1413,250691,,,,,,Tallinn,,,,
50693,11125,11125,1413,250693,,,"Ganibu dambis 26A, 1005",,,,,,,
50693,11125,11125,1413,250693,,,,,,Riga,,,,
50696,11175,11175,1413,250696,,,"Suite 305, Griffith Corporate Centre",,,,,,,
50696,11175,11175,1413,250696,,,,,,Kingstown,,,,
50698,11171,11171,1413,250698,,,Baltiiskaya 63-16,,,,,,,
50698,11171,11171,1413,250698,,,,,,Barnaul,,,,
50698,11171,11171,1413,250698,,,,,,,,656058,,
50702,11171,11171,1413,250702,,,,,,Barnaul,,,,
51206,91116,91116,1413,251206,,,Kralj Peter St.,,,,,,,
51206,91116,91116,1413,251206,,,,,,Mitrovica,,,,
51236,91116,91116,1413,251236,,,Donji Jasenovik,,,,,,,
51236,91116,91116,1413,251236,,,,,,Zubin Potok,,,,
51231,91116,91116,1413,251231,,,Donji Jasenovik,,,,,,,
51231,91116,91116,1413,251231,,,,,,Zubin Potok,,,,
51245,91116,91116,1413,251245,,,Kral Petar Street,,,,,,,
51245,91116,91116,1413,251245,,,,,,Zvecan,,,,
51243,91116,91116,1413,251243,,,Kral Petar Street,,,,,,,
51243,91116,91116,1413,251243,,,,,,Zvecan,,,,
50730,11181,11181,1413,250730,,,Autoput Bb,,,,,,,
50730,11181,11181,1413,250730,,,,,,Aleksinac,,,,
50730,11181,11181,1413,250730,,,,,,,,18220,,
50732,11181,11181,1413,250732,,,Macvanska 65,,,,,,,
50732,11181,11181,1413,250732,,,,,,Sabac,,,,
50732,11181,11181,1413,250732,,,,,,,,15000,,
50734,11181,11181,1413,250734,,,Partizanske Avijacije 4/III,,,,,,,
50734,11181,11181,1413,250734,,,,,,Belgrade,,,,
50734,11181,11181,1413,250734,,,,,,,,11000,,
50736,11181,11181,1413,250736,,,Brnjak Bb,,,,,,,
50736,11181,11181,1413,250736,,,,,,Srpska Crnja,,,,
50738,11181,11181,1413,250738,,,Sabana Koce 67,,,,,,,
50738,11181,11181,1413,250738,,,,,,Novi Pazar,,,,
50738,11181,11181,1413,250738,,,,,,,,36300,,
50740,91116,91116,1413,250740,,,,,,Zupc,,,,
50740,91116,91116,1413,250740,,,,,,,,40650,,
50742,11181,11181,1413,250742,,,,,,Donji Jasenovik,,,,
50742,11181,11181,1413,250742,,,,,,,,38228,,
50744,91116,91116,1413,250744,,,Kralja Petra I,,,,,,,
50744,91116,91116,1413,250744,,,,,,Mitrovice,,,,
50744,91116,91116,1413,250744,,,,,,,,40000,,
56123,11171,11171,1413,256123,,,Agibalov St. 48,,,,,,,
56123,11171,11171,1413,256123,,,,Office 70,,,,,,
56123,11171,11171,1413,256123,,,,,,Samara,,,,
56123,11171,11171,1413,256123,,,,,,,"Samarskaya, Oblast",,,
56123,11171,11171,1413,256123,,,,,,,,443041,,
50795,11074,11074,1413,250795,,,"Evagora Pallikaridi, 11",,,,,,,
50795,11074,11074,1413,250795,,,,,,,,,Greek,"Ευαγόρα Παλληκαρίδη, 11"
50795,11074,11074,1413,250795,,,,,,Argaka,,,,
