ID,FixedRef,AreaCodeID,Country,CountryRelevanceID,FeatureVersionID,Unknown,Region,Address 1,Address 2,Address 3,City,State/ Province,Postal Code,Script Type
4851,6832,11066,Colombia,,204851,,,c/o INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A.,,,Buenaventura,,,Latin
65143,6853,11111,Ireland,,265143,,,,,,,,,Latin
65144,6853,11211,United Kingdom,,265144,,,,,,,Northern Ireland,,Latin
4883,6856,11291,,,204883,,,,,,,,,Latin
4884,6857,11291,,,204884,,,,,,,,,Latin
4885,6858,11291,,,204885,,,,,,,,,Latin
4886,6859,11291,,,204886,,,,,,,,,Latin
4887,6860,11291,,,204887,,,,,,,,,Latin
4888,6861,11291,,,204888,,,,,,,,,Latin
4889,6862,11291,,,204889,,,,,,,,,Latin
4890,6863,11291,,,204890,,,,,,,,,Latin
4891,6864,11291,,,204891,,,,,,,,,Latin
4892,6865,11291,,,204892,,,,,,,,,Latin
4893,6866,11291,,,204893,,,,,,,,,Latin
4922,6895,11291,,,204922,,,,,,,,,Latin
4923,6896,11291,,,204923,,,,,,,,,Latin
4924,6897,11291,,,204924,,,,,,,,,Latin
4925,6898,11291,,,204925,,,,,,,,,Latin
4926,6899,11291,,,204926,,,,,,,,,Latin
4927,6900,11291,,,204927,,,,,,,,,Latin
4928,6901,11291,,,204928,,,,,,,,,Latin
47206,6903,11141,Mauritania,,247206,,,,,,,,,Latin
50102,6905,11073,Cuba,,250102,,,Guantanamo Bay detention center,,,,,,Latin
50101,6906,11073,Cuba,,250101,,,Guantanamo Bay detention center,,,,,,Latin
4934,6907,11291,,,204934,,,,,,,,,Latin
4935,6908,11291,,,204935,,,,,,,,,Latin
4937,6910,11160,Pakistan,,204937,,,"House no. 125, Street 54, Phase II, Hayatabad",,,Peshawar,,,Latin
4947,6911,11291,,,204947,,,,,,,,,Latin
4939,6912,11160,Pakistan,,204939,,,"Kitab Ghar, 4 Dar-el-Iftah, Nazimabad",,,Karachi,,,Latin
4942,6912,11160,Pakistan,,204942,,,"Office Dha'rb-i-M'unin, Room no. 3, Third Floor, Moti Plaza, near Liaquat Bagh, Murree Road",,,Rawalpindi,,,Latin
4943,6912,11160,Pakistan,,204943,,,"Jamia Masjid, Sulaiman Park, Begum Pura",,,Lahore,,,Latin
4944,6912,11160,Pakistan,,204944,,,"Office Dha'rb-i-M'unin, Z.R. Brothers, Katchehry Road, Chowk Yadgaar",,,Peshawar,,,Latin
4945,6912,11160,Pakistan,,204945,,,"Office Dha'rb-i-M'unin, Top Floor, Dr. Dawa Khan Dental Clinic Surgeon, Main Baxar, Mingora",,,Swat,,,Latin
4946,6912,11160,Pakistan,,204946,,,"Office Dha'rb-i-M'unin, opposite Khyber Bank, Abbottabad Road",,,Mansehra,,,Latin
20919,6912,11160,Pakistan,,220919,,,"University Road, Opposite Baitul Mukaram, Gulshan-e Iqbal",,,Karachi,,,Latin
20920,6912,11160,Pakistan,,220920,,,"Opposite Jang Press, I.I. Chundrigar Road",,,Karachi,,,Latin
20921,6912,11160,Pakistan,,220921,,,"TE-365, 3rd Floor, Deans Trade Centre",,,Peshawar Cantt.,,,Latin
4940,6913,11094,Germany,,204940,,,Uhlenhorsterweg 34 11,,,Hamburg,,,Latin
4948,6915,11029,Afghanistan,,204948,,,,,,,,,Latin
4949,6916,11029,Afghanistan,,204949,,,,,,,,,Latin
4951,6918,11291,,,204951,,,,,,,,,Latin
4952,6919,11291,,,204952,,,,,,,,,Latin
4953,6920,11291,,,204953,,,,,,,,,Latin
4954,6921,11126,Lebanon,,204954,,,,,,,,,Latin
4956,6923,11291,,,204956,,,,,,,,,Latin
4957,6924,11291,,,204957,,,,,,,,,Latin
4958,6925,11291,,,204958,,,,,,,,,Latin
4959,6926,11126,Lebanon,,204959,,,,,,,,,Latin
4960,6927,11291,,,204960,,,,,,,,,Latin
50103,6928,11073,Cuba,,250103,,,Guantanamo Bay detention center,,,,,,Latin
4964,6931,11291,,,204964,,,,,,,,,Latin
4965,6932,11218,Yemen,,204965,,,Al-Mukallah,,,Hadhramawt Governorate,,,Latin
4971,6935,11160,Pakistan,,204971,,,,,,,,,Latin
4972,6936,11029,Afghanistan,,204972,,,,,,Qandahar City,,,Latin
4973,6937,11160,Pakistan,,204973,,,"Room 9A, 2nd Floor, Wahdat Road, Education Town",,,Lahore,,,Latin
4974,6937,11160,Pakistan,,204974,,,Wares Colony,,,Lahore,,,Latin
4975,6938,11160,Pakistan,,204975,,,,,,,,,Latin
4976,6939,11218,Yemen,,204976,,,"Jamal street, Al-Dahima alley",,,Al-Hudaydah,,,Latin
4977,6940,11291,,,204977,,,,,,,,,Latin
4978,6941,11291,,,204978,,,,,,,,,Latin
4981,6944,11291,,,204981,,,,,,,,,Latin
4982,6945,11291,,,204982,,,,,,,,,Latin
4983,6946,11094,Germany,,204983,,,Helene Meyer Ring 10-1415-80809,,,Munich,,,Latin
4984,6946,11211,United Kingdom,,204984,,,"129 Park Road, NW8",,,London,,,Latin
4985,6946,11045,Belgium,,204985,,,28 Chaussee de Lille,,,Mouscron,,,Latin
4986,6946,11038,Austria,,204986,,,Darvingasse 1/2/58-60,,,Vienna,,,Latin
4987,6946,11204,Tunisia,,204987,,,,,,,,,Latin
4988,6947,11094,Germany,,204988,,,"Uhlenhorsterweg 34 11, 22085",,,Hamburg,,,Latin
4989,6948,11116,Jordan,,204989,,,,,,,,,Latin
4991,6950,11211,United Kingdom,,204991,,,,,,London,,,Latin
24833,6950,11116,Jordan,,224833,,,,,,,,,Latin
5076,7006,11291,,,205076,,,,,,,,,Latin
5225,7114,11292,West Bank,,205225,,,P.O. Box 3753,,,al-Beireh,,,Latin
5226,7114,11292,West Bank,,205226,,,Ramallah II 970,,,,,,Latin
5227,7115,11292,West Bank,,205227,,,P.O. Box 662,,,Ramallah,,,Latin
5228,7116,11212,United States,,205228,,,"525 International Parkway, Suite 509",,,Richardson,TX,75081,Latin
5229,7116,11212,United States,,205229,,,P.O. Box 832390,,,Richardson,TX,75083,Latin
5230,7116,11212,United States,,205230,,,9250 S. Harlem Avenue,,,Bridgeview,IL,,Latin
5231,7116,11212,United States,,205231,,,345 E. Railway Avenue,,,Paterson,NJ,07503,Latin
5232,7116,11292,West Bank,,205232,,,,,,Hebron,,,Latin
5233,7116,11291,undetermined,,205233,,,,,,Gaza Strip,,,Latin
5239,7116,11212,United States,,205239,,,"12798 Rancho Penasquitos Blvd., Suite F",,,San Diego,CA,92128,Latin
5470,7116,11292,West Bank,,205470,,,,,,Jenin,,,Latin
